"Income" "Loan" "Default" "Age" "Gender" "Education" "Children" "Employment" "Adress" "Phone" "Customer" "Term" "Limit"
30.162 10.748 0 26 "M" "N" 1 17 14 "N" "N" 24 11.156
30.182 11.038 0 26 "F" "H" 0 24 312 "Y" "N" 24 11.002
30.192 10.835 0 47 "F" "H" 2 38 120 "Y" "N" 24 11.29
30.212 10.854 0 42 "M" "M" 0 65 120 "Y" "N" 24 11.198
30.222 10.666 0 45 "F" "H" 2 154 180 "Y" "N" 24 11.156
30.232 10.756 0 48 "F" "M" 1 34 247 "N" "N" 24 10.597
30.242 10.514 0 44 "M" "S" 1 10 88 "Y" "N" 24 12.899
30.252 11.404 0 36 "M" "M" 1 18 192 "Y" "E" 24 12.899
30.262 10.766 0 25 "F" "H" 0 24 36 "Y" "N" 24 11.002
30.282 10.93 0 32 "F" "H" 0 35 192 "Y" "N" 24 11.513
37.223 12.669 0 50 "M" "H" 2 13 104 "Y" "N" 24 9.306
30.292 10.952 0 32 "M" "H" 1 73 70 "Y" "N" 24 11.002
30.302 10.58 0 28 "F" "H" 1 109 72 "Y" "N" 24 10.021
30.322 10.688 1 29 "F" "M" 1 55 3 "N" "N" 24 11.513
30.332 11.054 0 42 "M" "S" 0 64 7 "N" "E" 24 11.918
30.342 10.868 1 35 "F" "H" 0 32 220 "Y" "N" 24 12.766
30.352 10.859 0 32 "M" "M" 1 4 3 "N" "N" 24 10.82
30.362 11.059 0 31 "M" "M" 1 22 8 "Y" "N" 24 10.309
30.372 10.537 0 51 "F" "M" 2 21 240 "Y" "N" 24 10.82
34.798 12.063 0 41 "M" "H" 1 31 96 "Y" "N" 24 8.7
30.382 11.225 0 34 "F" "S" 1 95 204 "N" "N" 24 10.597
30.392 10.896 1 26 "M" "H" 0 21 8 "Y" "N" 24 10.82
30.402 11.113 0 38 "M" "H" 1 46 12 "Y" "E" 24 11.156
30.412 11.213 0 21 "F" "N" 0 4 252 "Y" "N" 24 11.002
29.754 10.802 0 34 "M" "H" 1 30 24 "Y" "N" 24 7.438
30.422 10.973 0 21 "M" "M" 0 29 22 "N" "E" 24 10.309
30.432 10.644 0 27 "F" "H" 0 18 98 "Y" "N" 24 11.408
30.442 11.259 0 39 "M" "H" 1 4 240 "Y" "N" 24 12.457
30.462 10.752 0 26 "F" "H" 1 57 323 "Y" "N" 24 11.35
30.472 10.841 0 53 "F" "M" 2 131 79 "Y" "N" 24 11.513
30.482 10.871 0 27 "M" "M" 0 67 60 "N" "N" 24 10.82
30.492 11.229 0 23 "M" "H" 0 14 18 "Y" "N" 24 11.408
30.503 10.966 1 37 "M" "N" 0 15 12 "Y" "N" 24 11.513
30.513 11.05 0 25 "M" "N" 0 72 36 "Y" "N" 24 11.29
30.523 10.91 0 39 "M" "M" 2 20 3 "Y" "N" 24 12.244
30.533 10.859 1 57 "M" "H" 2 84 1 "N" "N" 24 12.206
30.543 11.144 1 29 "F" "H" 1 15 82 "Y" "N" 24 12.429
30.553 11.282 1 43 "M" "H" 2 56 98 "Y" "N" 24 11.918
30.573 11.115 0 29 "F" "H" 0 12 15 "Y" "N" 24 12.794
30.583 11.058 0 35 "M" "H" 1 32 12 "Y" "N" 24 12.206
30.593 10.821 0 38 "F" "N" 1 75 168 "Y" "N" 24 10.597
30.603 11.236 0 34 "M" "M" 1 138 29 "Y" "N" 24 11.002
30.613 10.836 0 29 "M" "M" 0 4 15 "Y" "N" 24 12.206
30.623 10.87 0 33 "M" "H" 2 90 70 "Y" "N" 24 12.206
30.633 11.215 0 26 "M" "M" 0 66 44 "Y" "N" 24 10.82
30.643 11.477 1 28 "F" "H" 0 16 72 "Y" "N" 24 11.727
30.653 11.044 0 30 "M" "H" 1 29 130 "Y" "E" 24 11.608
30.663 10.839 1 53 "F" "H" 2 70 216 "Y" "N" 24 12.899
30.673 10.611 0 47 "F" "M" 2 19 207 "Y" "N" 24 12.437
30.683 10.871 1 22 "F" "S" 0 19 72 "Y" "N" 24 11.29
30.693 10.691 0 26 "M" "H" 0 8 108 "Y" "N" 24 11.29
30.703 10.898 0 30 "M" "M" 1 60 274 "Y" "N" 24 11.082
30.713 11.096 1 38 "M" "H" 1 16 52 "Y" "N" 24 12.612
30.723 10.725 0 37 "F" "H" 1 25 150 "N" "N" 24 11.918
30.733 11.778 0 27 "M" "H" 1 51 60 "Y" "N" 24 12.899
30.743 11.032 0 23 "M" "M" 0 21 60 "Y" "N" 24 11.29
30.753 11.327 0 31 "F" "M" 0 12 19 "N" "N" 24 10.597
30.773 11.215 0 29 "F" "H" 0 11 161 "Y" "E" 24 12.899
30.783 10.601 0 42 "M" "H" 2 104 30 "Y" "N" 24 12.167
30.793 11.274 1 32 "F" "M" 0 10 27 "Y" "N" 24 11.918
30.803 11.12 0 26 "M" "M" 1 30 60 "Y" "N" 24 11.513
30.813 10.881 0 41 "F" "H" 2 60 18 "Y" "N" 24 11.918
30.823 11.403 0 33 "F" "M" 1 40 34 "Y" "N" 24 10.646
30.833 10.798 0 46 "F" "H" 1 46 144 "Y" "N" 24 11.002
30.843 10.837 1 53 "F" "M" 2 15 286 "Y" "N" 24 10.519
30.853 10.713 1 25 "M" "N" 0 13 157 "Y" "N" 24 11.35
30.863 10.815 0 46 "F" "S" 1 40 120 "Y" "N" 24 11.513
30.873 11.302 1 27 "M" "M" 0 18 9 "Y" "N" 24 11.513
30.883 11.151 0 25 "M" "H" 0 35 264 "Y" "E" 24 11.29
30.893 11.325 0 23 "M" "M" 0 7 204 "N" "N" 24 10.597
30.903 10.909 1 57 "M" "H" 0 8 277 "Y" "N" 24 10.309
30.913 11.141 0 36 "F" "H" 1 48 132 "Y" "N" 24 11.513
30.923 11.104 0 29 "M" "M" 1 4 108 "Y" "N" 24 10.597
30.933 10.605 0 23 "F" "H" 0 14 282 "Y" "N" 24 12.206
36.841 12.574 0 31 "F" "H" 2 76 142 "N" "N" 24 9.21
30.943 11.569 0 49 "F" "H" 1 31 36 "N" "N" 24 10.463
30.953 11.079 0 28 "M" "S" 0 25 180 "Y" "E" 24 11.156
30.963 11.27 0 29 "M" "H" 2 70 37 "Y" "N" 24 11.408
30.973 11.33 1 38 "M" "M" 2 49 162 "Y" "N" 24 11.562
30.983 11.031 0 25 "F" "H" 0 27 103 "Y" "N" 24 11.918
30.993 10.957 0 24 "F" "M" 0 6 4 "Y" "N" 24 11.695
31.003 11.319 0 24 "F" "H" 0 28 36 "Y" "N" 24 11.002
31.013 10.739 1 30 "M" "H" 0 19 168 "Y" "N" 24 11.326
31.023 11.647 1 27 "M" "H" 1 15 60 "Y" "N" 24 11.918
31.033 10.943 0 50 "M" "P" 1 358 216 "Y" "E" 24 11.513
31.043 11.557 0 22 "F" "N" 0 9 8 "Y" "N" 24 11.513
31.053 11.517 1 44 "F" "H" 2 154 13 "Y" "N" 24 12.899
31.063 11.091 0 32 "F" "H" 2 7 24 "N" "N" 24 11.408
31.073 11.238 0 37 "F" "H" 2 70 150 "Y" "N" 24 11.143
31.083 10.763 0 29 "M" "H" 1 11 60 "Y" "E" 24 10.82
31.093 11.17 1 38 "M" "N" 1 184 36 "Y" "N" 24 11.148
31.103 11.389 0 47 "F" "M" 2 14 260 "Y" "N" 24 11.29
31.113 11.108 0 28 "F" "H" 0 18 6 "Y" "N" 24 11.156
31.123 10.945 1 25 "F" "H" 0 32 60 "Y" "N" 24 11.097
31.133 10.887 0 27 "M" "N" 0 14 123 "Y" "N" 24 10.597
31.143 11.075 1 35 "M" "M" 2 10 6 "Y" "N" 24 11.156
31.153 11.409 0 39 "M" "H" 1 6 80 "Y" "N" 24 12.736
31.163 10.946 0 52 "F" "M" 2 360 172 "Y" "N" 24 12.899
31.173 11.057 1 51 "F" "H" 2 22 250 "Y" "N" 24 12.612
31.183 10.708 0 52 "F" "M" 1 130 276 "Y" "E" 24 11.736
31.193 11.247 0 35 "M" "H" 1 78 192 "Y" "N" 24 11.683
31.203 11.493 0 38 "M" "H" 0 44 96 "Y" "E" 24 12.766
31.213 11.552 0 35 "F" "N" 0 164 217 "Y" "N" 24 11.29
31.223 11.35 0 30 "F" "H" 0 36 12 "Y" "N" 24 11.905
31.233 10.547 0 32 "F" "H" 1 23 384 "Y" "E" 24 12.429
31.243 11.255 0 21 "F" "N" 0 24 27 "Y" "N" 24 11.156
31.253 11.25 1 47 "F" "H" 1 20 170 "Y" "N" 24 11.513
31.263 11.01 1 26 "M" "M" 2 29 13 "N" "N" 24 11.156
31.273 11.169 0 55 "M" "M" 1 204 327 "Y" "E" 24 11.29
31.283 10.862 0 57 "M" "M" 1 432 110 "Y" "N" 24 11.386
31.293 11.327 0 24 "F" "M" 0 10 180 "Y" "N" 24 11.29
31.303 11.028 1 39 "F" "N" 2 78 212 "Y" "N" 24 12.543
31.313 10.658 0 48 "M" "H" 1 34 96 "Y" "E" 24 10.82
31.323 11.021 0 40 "M" "M" 2 228 60 "Y" "N" 24 12.146
31.333 11.543 1 27 "M" "M" 1 22 6 "Y" "N" 24 11.513
31.343 11.036 0 38 "M" "H" 1 22 182 "Y" "N" 24 11.918
31.353 11.358 0 23 "M" "M" 0 6 282 "Y" "N" 24 10.834
31.363 11.425 0 28 "F" "H" 1 102 8 "Y" "N" 24 10.309
31.373 11.145 1 25 "F" "H" 0 14 288 "Y" "N" 24 11.225
39.809 10.127 0 49 "M" "H" 2 97 180 "N" "N" 24 9.956
31.383 11.04 0 37 "F" "H" 1 72 45 "Y" "N" 24 11.513
31.393 10.989 0 22 "M" "M" 1 16 66 "Y" "E" 24 10.309
31.403 11.373 0 36 "F" "S" 1 17 36 "Y" "N" 24 11.918
31.413 10.834 0 26 "M" "H" 0 19 317 "Y" "N" 24 12.206
31.423 11.23 0 53 "F" "H" 1 185 312 "Y" "N" 24 12.612
38.463 12.98 0 24 "F" "H" 0 17 3 "Y" "N" 24 9.616
31.433 11.072 0 23 "M" "H" 0 12 240 "Y" "N" 24 12.612
31.453 10.741 0 51 "F" "H" 2 12 156 "Y" "N" 24 10.82
31.463 11.441 0 52 "M" "M" 0 32 100 "Y" "N" 24 10.82
31.473 11.111 1 34 "F" "N" 0 108 72 "Y" "E" 24 12.429
31.483 11.412 0 34 "M" "H" 1 6 40 "Y" "N" 24 10.597
31.493 11.74 0 30 "F" "M" 1 15 3 "Y" "N" 24 11.695
31.504 11.618 0 32 "M" "M" 1 72 12 "Y" "E" 24 12.206
31.514 11.382 1 22 "M" "M" 0 11 180 "Y" "N" 24 10.597
31.524 11.295 0 52 "F" "H" 3 146 124 "Y" "E" 24 11.918
31.534 11.126 0 26 "M" "H" 0 29 24 "Y" "N" 24 11.002
31.544 11.659 0 26 "F" "M" 0 12 120 "Y" "N" 24 11.513
31.554 11.367 0 23 "M" "M" 0 20 95 "N" "N" 24 11.002
31.564 10.839 0 29 "M" "H" 1 10 336 "Y" "N" 24 10.714
31.574 11.147 0 43 "F" "H" 2 112 67 "Y" "N" 24 12.899
31.584 10.62 0 43 "M" "M" 1 18 23 "N" "N" 24 12.206
31.594 11.14 0 34 "M" "M" 1 36 144 "N" "N" 24 11.608
31.614 11.598 1 29 "F" "M" 0 19 43 "N" "N" 24 11.513
31.624 11.015 0 46 "F" "M" 1 198 72 "Y" "N" 24 10.82
31.634 11.079 1 41 "M" "H" 0 10 252 "Y" "N" 24 12.429
31.644 11.16 0 31 "M" "H" 2 48 96 "Y" "N" 24 12.206
31.654 11.397 0 49 "M" "M" 1 24 60 "Y" "N" 24 10.82
31.664 11.419 0 28 "M" "H" 0 16 62 "Y" "E" 24 12.101
31.674 11.389 1 21 "F" "M" 0 21 70 "Y" "N" 24 11.156
31.684 11.049 1 25 "F" "S" 0 9 24 "Y" "N" 24 11.29
31.694 10.814 1 21 "F" "N" 0 19 7 "Y" "N" 24 10.309
31.704 11.109 0 53 "F" "S" 2 106 53 "Y" "N" 24 11.775
31.714 11.312 0 26 "F" "H" 0 19 12 "Y" "N" 24 11.513
31.724 10.984 0 31 "M" "H" 1 21 10 "N" "N" 24 11.002
31.734 11.213 0 29 "F" "M" 0 22 358 "Y" "E" 24 12.041
31.744 10.886 0 49 "M" "M" 1 62 324 "Y" "N" 24 11.29
31.754 11.236 0 32 "M" "M" 2 48 180 "Y" "N" 24 11.513
31.764 11.28 0 55 "M" "H" 3 23 336 "Y" "N" 24 12.612
31.774 11.2 1 36 "F" "M" 0 40 180 "Y" "N" 24 10.82
38.463 11.918 1 45 "M" "H" 2 17 2 "Y" "N" 24 11.918
31.784 11.197 1 39 "F" "M" 2 17 372 "N" "N" 24 10.309
31.794 11.778 0 26 "F" "M" 0 11 31 "Y" "N" 24 11.29
31.804 11.48 0 23 "M" "H" 0 24 118 "Y" "N" 24 11.002
31.814 11.587 0 26 "M" "H" 0 6 120 "Y" "N" 24 11.082
31.824 10.979 0 29 "M" "M" 0 15 16 "Y" "N" 24 10.82
31.834 11.308 0 47 "F" "M" 2 8 240 "Y" "N" 24 10.597
31.844 11.607 0 45 "F" "H" 1 73 133 "Y" "E" 24 11.002
31.854 11.247 0 35 "F" "M" 1 7 120 "Y" "E" 24 11.513
31.864 10.627 1 38 "M" "H" 2 24 96 "Y" "N" 24 10.309
31.874 11.372 1 28 "M" "H" 0 12 120 "Y" "N" 24 11.513
31.884 10.699 1 24 "F" "H" 0 27 100 "Y" "N" 24 12.206
31.894 11.03 0 42 "F" "H" 2 84 204 "Y" "E" 24 11.002
31.904 11.673 0 39 "F" "M" 1 48 360 "Y" "N" 24 12.612
31.914 11.463 0 24 "M" "H" 0 18 18 "Y" "N" 24 11.408
31.924 11.608 0 23 "M" "N" 0 7 26 "N" "N" 24 11.513
31.934 11.375 0 43 "F" "M" 2 34 216 "N" "N" 24 11.918
31.944 11.253 0 48 "F" "M" 1 120 384 "Y" "N" 24 12.612
31.954 11.011 1 29 "F" "N" 1 10 78 "Y" "N" 24 12.429
31.964 11.769 1 53 "F" "H" 2 71 88 "Y" "N" 24 11.29
31.974 11.307 0 46 "F" "M" 2 312 300 "Y" "N" 24 10.82
31.984 11.081 0 33 "F" "P" 1 15 204 "Y" "N" 24 11.156
31.994 11.558 0 36 "M" "H" 2 80 1 "N" "N" 24 12.899
32.004 11.623 1 37 "F" "M" 1 12 132 "Y" "N" 24 11.235
32.014 11.872 0 24 "M" "N" 0 6 252 "Y" "N" 24 11.082
32.024 11.125 0 35 "F" "H" 0 190 24 "N" "N" 24 11.513
39.17 10.82 0 29 "F" "H" 2 30 60 "Y" "N" 24 9.795
32.034 11.191 1 54 "M" "H" 1 313 65 "Y" "N" 24 12.612
32.044 11.186 1 41 "F" "M" 1 173 42 "Y" "N" 24 10.82
32.054 11.201 0 45 "M" "H" 0 9 12 "Y" "N" 24 10.494
32.064 11.206 0 31 "M" "M" 0 12 26 "Y" "N" 24 12.206
32.074 11.23 0 28 "F" "M" 1 29 29 "Y" "N" 24 10.714
32.084 11.754 0 26 "M" "H" 0 4 24 "Y" "N" 24 12.609
32.094 11.114 0 55 "M" "H" 1 144 21 "Y" "N" 24 11.232
32.104 11.21 0 36 "F" "H" 1 72 12 "Y" "N" 24 10.82
32.114 11.524 1 29 "M" "H" 1 13 68 "Y" "N" 24 11.624
32.124 11.668 0 25 "F" "H" 0 15 101 "Y" "N" 24 12.101
32.134 11.102 0 30 "F" "M" 0 36 132 "N" "N" 24 10.539
32.144 11.184 0 53 "F" "M" 2 8 324 "Y" "N" 24 10.463
32.154 11.496 0 23 "M" "H" 0 14 279 "Y" "N" 24 10.463
54.369 13.592 1 51 "M" "H" 2 15 120 "Y" "N" 24 13.592
32.164 11.646 0 23 "M" "H" 0 9 276 "N" "N" 24 10.82
32.174 11.268 0 46 "F" "H" 0 10 121 "N" "E" 24 10.82
32.184 10.917 0 26 "M" "H" 1 77 128 "Y" "E" 24 10.82
32.194 11.861 0 37 "F" "H" 1 11 6 "Y" "N" 24 11.513
32.204 11.782 1 43 "M" "M" 2 22 156 "Y" "N" 24 12.429
32.214 11.14 0 42 "F" "M" 1 284 204 "Y" "N" 24 10.463
32.224 11.337 0 24 "M" "H" 1 9 288 "Y" "N" 24 11.513
32.234 10.831 1 53 "F" "H" 1 42 30 "N" "E" 24 12.206
32.244 11.532 0 52 "F" "H" 1 21 49 "Y" "N" 24 12.612
32.254 11.847 0 37 "F" "H" 1 11 14 "Y" "N" 24 12.359
32.264 10.875 0 39 "M" "H" 1 27 61 "Y" "N" 24 11.918
32.274 11.135 0 24 "F" "H" 0 18 2 "N" "N" 24 10.82
32.284 11.179 0 33 "M" "H" 0 28 115 "N" "N" 24 10.309
32.294 11.169 1 52 "F" "H" 2 47 100 "N" "N" 24 12.899
32.304 10.766 0 23 "F" "M" 0 16 24 "Y" "N" 24 12.044
32.314 11.529 0 40 "M" "M" 2 134 11 "Y" "E" 24 10.309
32.324 10.922 0 29 "M" "M" 0 30 156 "Y" "N" 24 12.441
32.334 11.376 0 24 "F" "H" 0 32 84 "Y" "N" 24 12.899
32.344 11.564 1 38 "M" "M" 1 36 279 "N" "N" 24 11.002
32.354 11.329 1 29 "M" "M" 1 12 10 "Y" "N" 24 11.156
32.364 11.659 0 45 "F" "H" 1 100 24 "Y" "N" 24 12.899
32.374 11.386 0 52 "F" "H" 0 84 108 "Y" "N" 24 12.206
32.384 11.202 0 41 "F" "H" 1 5 74 "Y" "N" 24 11.29
